Timestamp(ms),Output,Target,Tof
11741.898536682129,-56.21,100,133.0
11845.529079437256,-57.54584000000016,100,133.6
11948.827028274536,-59.280800000001484,100,134.4
12051.823616027832,-60.11698000000163,100,134.7
12155.799865722656,-61.69283999999978,100,135.4
12258.768320083618,-62.76664000000187,100,135.8
12362.653732299805,-63.099580000001325,100,135.8
12466.311931610107,-63.15118000000013,100,135.6
12570.150375366211,-64.56576000000149,100,136.2
12674.2262840271,-63.36758000000171,100,135.3
12777.481079101562,-62.725809999999825,100,134.7
12880.64956665039,-60.65883000000004,100,133.3
12984.524726867676,-55.718010000001144,100,130.2
13088.233709335327,-49.206210000000304,100,126.2
13191.909551620483,-38.8542100000004,100,120.0
13295.63307762146,-30.346620000000975,100,114.9
13398.938417434692,-22.638890000000412,100,110.3
13501.811504364014,-13.846830000000434,100,105.1
13605.707168579102,-6.887730000000483,100,101.0
13708.821058273315,-0.4014100000004728,100,97.2
13812.894344329834,3.7357899999993665,100,94.8
13916.688680648804,7.55644999999965,100,92.6
14019.501686096191,9.506349999999683,100,91.5
14122.703552246094,10.454449999999206,100,91.0
14225.830554962158,10.880929999999257,100,90.8
14329.776525497437,10.639029999999593,100,91.0
14433.620691299438,9.540329999999315,100,91.7
14536.597967147827,7.908219999999205,100,92.7
14639.655590057373,6.961919999999605,100,93.3
14742.38109588623,4.297509999999319,100,94.9
14845.134258270264,2.63604999999934,100,95.9
14948.320627212524,1.140929999999476,100,96.8
15051.740646362305,0.14536999999947486,100,97.4
15155.778646469116,-1.3661000000006012,100,98.3
15259.750843048096,-1.8607000000005147,100,98.6
15362.79821395874,-1.847680000000536,100,98.6
15465.830326080322,-3.2010800000005752,100,99.4
15568.816184997559,-3.87920000000056,100,99.8
15671.661376953125,-3.3637500000005454,100,99.5
15775.394201278687,-3.7004800000005664,100,99.7
15878.42321395874,-3.697660000000565,100,99.7
15982.495784759521,-3.1811200000005475,100,99.4
16086.423397064209,-3.003420000000556,100,99.3
16189.324855804443,-2.313080000000565,100,98.9
16293.272256851196,-2.130000000000505,100,98.8
16396.352767944336,-0.40932000000049396,100,97.8
16499.35507774353,0.8122899999993569,100,97.1
16602.346181869507,2.041529999999474,100,96.4
16706.448554992676,2.7591299999995043,100,96.0
16810.45961380005,3.3164299999993587,100,95.7
16914.18218612671,3.876569999999528,100,95.4
17017.321586608887,5.458269999999565,100,94.5
17120.887517929077,6.8869399999992265,100,93.7
17224.897861480713,6.604279999999251,100,93.9
17328.061819076538,5.986409999999482,100,94.3
17431.96153640747,5.706909999999297,100,94.5
17535.895347595215,4.903409999999221,100,95.0
17650.506496429443,3.2534099999992203,60,96.0
17753.549575805664,-61.66066666666667,60,96.2
17857.21731185913,-62.51233333333333,60,96.7
17960.821866989136,-62.34199999999999,60,96.6
18064.83292579651,-61.31999999999999,60,96.0
18167.78254508972,-58.42433333333333,60,94.3
18270.836114883423,-54.50666666666667,60,92.0
18374.449491500854,-49.73733333333333,60,89.2
18478.219509124756,-42.583333333333336,60,85.0
