Timestamp(ms),x,y
9529.831171035767,180,4
9555.447578430176,181,10
9586.045503616333,181,10
9615.112781524658,182,14
9647.36795425415,182,17
9679.050207138062,182,17
9708.76955986023,183,22
9738.136529922485,183,22
9768.459796905518,184,27
9802.078247070312,185,33
9832.931518554688,185,33
9866.074085235596,186,38
9899.155378341675,186,38
9926.740646362305,186,43
9955.941915512085,186,49
9986.469268798828,186,49
10017.06075668335,186,54
10047.160863876343,186,59
10077.27575302124,186,59
10107.428073883057,187,64
10132.390022277832,187,64
10167.949199676514,188,69
10198.554039001465,189,73
10228.194952011108,189,73
10259.273529052734,189,78
10288.355588912964,190,83
10318.461418151855,190,83
10348.536014556885,190,88
10378.597736358643,190,88
10409.120798110962,190,92
10439.000129699707,190,92
10470.221757888794,190,96
10503.71265411377,191,100
10534.264326095581,191,100
10567.524671554565,192,103
10596.935272216797,194,106
10628.937005996704,194,106
10658.57982635498,195,109
10690.698385238647,195,109
10721.808433532715,197,112
10753.524780273438,198,114
10782.259225845337,198,114
10811.928033828735,198,117
10843.028783798218,198,117
10874.653816223145,199,120
10903.913021087646,201,122
10931.986570358276,201,122
10961.060762405396,201,125
10991.695880889893,201,125
11024.347305297852,202,128
11056.63776397705,203,130
11089.820623397827,203,130
11119.295597076416,203,132
11149.838924407959,203,134
11179.929971694946,203,134
11210.013389587402,203,136
11240.093231201172,204,138
11271.077871322632,204,138
11302.951097488403,205,139
11333.927154541016,205,139
11364.143133163452,206,142
11394.828796386719,206,142
11424.106121063232,207,144
11456.812143325806,207,144
11485.902786254883,208,147
11516.117572784424,209,149
11549.797773361206,209,149
11576.740264892578,210,151
11609.030723571777,210,153
11636.194705963135,210,153
11666.263818740845,211,155
11696.393728256226,211,155
11727.09608078003,212,157
11756.659984588623,213,160
11789.9808883667,213,160
11817.141771316528,214,163
11847.2318649292,216,164
11879.4846534729,216,164
11912.572383880615,218,167
11940.868854522705,218,167
11970.68977355957,218,169
12002.312421798706,219,171
12033.903360366821,219,171
12062.493562698364,219,172
12091.755628585815,219,172
12125.264406204224,220,174
12156.794309616089,220,175
12187.244176864624,220,175
12216.474771499634,220,177
12247.559070587158,220,179
12277.68611907959,220,179
12306.777954101562,220,181
12337.850332260132,220,181
12366.440296173096,220,183
12397.160053253174,221,184
12427.677392959595,221,184
12459.075212478638,221,185
