timestamp,distance,vx,vy,vz,x,y
24.097978591918945,177.50774630984418,40.28665604761905,15.461675047619048,-4.076100000000045,214,3
24.118292570114136,177.50774630984418,41.0243299676016,15.744788007612353,-4.093699999999629,214,3
24.138429880142212,172.80335644888382,37.23629170334144,16.962381893338357,-4.127800000000574,218,11
24.1586856842041,172.80335644888382,37.566880983333625,17.113976133334774,-4.1454000000001585,218,11
24.179258584976196,170.01764614298128,36.24730223331486,17.689885220468376,-4.179499999999102,219,15
24.199864864349365,170.01764614298128,36.55992223334301,17.844066500482256,-4.197100000000686,219,15
24.220267295837402,170.01764614298128,36.853003483331634,17.988611450476647,-4.213600000000046,219,15
24.24083399772644,168.1071087134628,36.06062620331747,18.582788593326377,-4.23119999999963,220,18
24.261399030685425,168.1071087134628,36.34153060334064,18.729788593338498,-5.46840000000066,220,18
24.28201150894165,164.02743672934722,34.39793304904832,18.886588593334793,-5.4876000000002065,220,23
24.302561044692993,164.02743672934722,34.67682120904173,19.043388593331084,-5.506799999999753,220,23
24.323121070861816,159.0125781188394,32.24929120905523,19.636330077625356,-5.544000000000782,221,30
24.343318939208984,159.0125781188394,32.48524120904607,19.785815127619554,-5.544000000000782,221,30
24.363721132278442,159.0125781188394,32.736921209040126,19.945265847615783,-5.58119999999963,221,30
24.384088277816772,159.0125781188394,33.22455120905363,20.25420161762434,-5.600399999999176,221,30
24.40441060066223,155.08062419270823,31.510194066190966,20.41365233762057,-5.61840000000066,221,35
24.424846410751343,155.08062419270823,31.743694066185444,20.573103057616798,-5.656799999999754,221,35
24.445348501205444,155.08062419270823,32.01785714285714,20.882038827625355,-5.674799999999054,221,35
24.46554708480835,150.33296378372907,29.469897142857143,21.321507799048025,-5.694000000000782,222,42
24.48592472076416,150.33296378372907,29.469897142857143,21.48364155904419,-5.73119999999963,222,42
24.50618577003479,145.7737973711325,27.120177142857145,22.094003063338754,-5.750399999999177,223,49
24.526305198669434,145.7737973711325,27.120177142857145,22.258852503334854,-5.7684000000006606,223,49
24.546523094177246,140.71602609511115,24.956937142857143,22.423701943330958,-5.806799999999754,223,56
24.566940546035767,140.71602609511115,24.956937142857143,22.57824829332496,-5.824799999999055,223,56
24.587224006652832,136.517398158623,23.24224,22.897644083333805,-5.844000000000783,223,62
24.607654571533203,136.517398158623,23.24224,23.062493523329906,-5.88119999999963,223,62
24.62793493270874,136.517398158623,23.24224,23.22734296332601,-5.900399999999177,223,62
24.648595094680786,131.79529581893277,21.39412,23.546738753334857,-5.918400000000661,223,69
24.669060707092285,131.79529581893277,21.39412,23.711588193330957,-7.159999999999677,223,69
24.68921685218811,128.06248474865697,19.69888,24.163208536182005,-7.179499999998921,224,76
